id,neighbors
438933,"445127,439155,416677,416678,439138,440040,442784,439139,442786,430807,442783,442704,442813,442816,439020,442815,439986,439990,442706,442809,439979,442810,440676,439987,442817,439985,442705,442814,442820,439980,439018,439706,439982,442821,443109,501049,443111,442823,439989,440045,440041,442818,442811,440042,440401,442822,443108,440084,443163,440081,444493,439019,407337,442703,442701,439977,439978,439975,439970,443155,443157,442659,443153,443152,439728,439974,407301,442906,443151,439731,439681,442702,443154,440079,439680,440036,443162,438902,472892,442840,440683,440228,442957,438899,407318,440025,496597,472914,443164,442910,442658,443161,413432,440230,472922,443202,442839,443156,442911,442841,443206,440491"
445127,"438933,439155,416677,416678,439138,440040,442784,439139,442786,430807,442783,442704,442813,442816,439020,442815,439986,439990,442706,442809,439979,442810,440676,439987,442817,439985,442705,442814,442820,439980,439018,439706,439982,442821,443109,501049,443111,442823,439989,440045,440041,442818,442811,440042,440401,442822,443108,440084,443163,440081,444493,439019,407337,442703,442701,439977,439978,439975,439970,443155,443157,442659,443153,443152,439728,439974,407301,442906,443151,439731,439681,442702,443154,440079,439680,440036,443162,438902,472892,442840,440683,440228,442957,438899,407318,440025,496597,472914,443164,442910,442658,443161,413432,440230,472922,443202,442839,443156,442911,442841,443206,440491"
439155,"438933,445127,416677,416678,439138,440040,442784,439139,442786,430807,442783,442704,442813,442816,439020,442815,439986,439990,442706,442809,439979,442810,440676,439987,442817,439985,442705,442814,442820,439980,439018,439706,439982,442821,443109,501049,443111,442823,439989,440045,440041,442818,442811,440042,440401,442822,443108,440084,443163,440081,444493,439019,407337,442703,442701,439977,439978,439975,439970,443155,443157,442659,443153,443152,439728,439974,407301,442906,443151,439731,439681,442702,443154,440079,439680,440036,443162,438902,472892,442840,440683,440228,442957,438899,407318,440025,496597,472914,443164,442910,442658,443161,413432,440230,472922,443202,442839,443156,442911,442841,443206,440491"
416677,"438933,445127,439155,416678,439138,440040,442784,439139,442786,430807,442783,442704,442813,442816,439020,442815,439986,439990,442706,442809,439979,442810,440676,439987,442817,439985,442705,442814,442820,439980,439018,439706,439982,442821,443109,501049,443111,442823,439989,440045,440041,442818,442811,440042,440401,442822,443108,440084,443163,440081,444493,439019,407337,442703,442701,439977,439978,439975,439970,443155,443157,442659,443153,443152,439728,439974,407301,442906,443151,439731,439681,442702,443154,440079,439680,440036,443162,438902,472892,442840,440683,440228,442957,438899,407318,440025,496597,472914,443164,442910,442658,443161,413432,440230,472922,443202,442839,443156,442911,442841,443206,440491"
440047,"416679,443171,443173,443170,439832,439831,408899"
416679,"440047,440017,443171,443173,443170,439832,439831,408899"
416678,"438933,445127,439155,416677,439138,440040,442784,439139,442786,430807,442783,442704,442813,442816,439020,442815,439986,439990,442706,442809,439979,442810,440676,439987,442817,439985,442705,442814,442820,439980,439018,439706,439982,442821,443109,501049,443111,442823,439989,440045,440041,442818,442811,440042,440401,442822,443108,440084,443163,440081,444493,439019,407337,442703,442701,439977,439978,439975,439970,443155,443157,442659,443153,443152,439728,439974,407301,442906,443151,439731,439681,442702,443154,440079,439680,440036,443162,438902,472892,442840,440683,440228,442957,438899,407318,440025,496597,472914,443164,442910,442658,443161,413432,440230,472922,443202,442839,443156,442911,442841,443206,440491"
442681,"439000,442683,442682,439001,458116,481901,401203,401249,401217,401206,401187,401221,401208,401183,401201,466199,401205,400735,401190"
439000,"442681,442683,442682,439001,458116,481901,401203,401249,401217,401206,401187,401221,401208,401183,401201,466199,401205,400735,401190"
442683,"442681,439000,442682,439001,458116,481901,401203,401249,401217,401206,401187,401221,401208,401183,401201,466199,401205,400735,401190"
442682,"442681,439000,442683,439001,458116,481901,401203,401249,401217,401206,401187,401221,401208,401183,401201,466199,401205,400735,401190"
417745,"443104,443103,443102,439818,426355,439819,442772,442770,439118,439119,442771,483688,408836,419414,439078,442760,439079,442761,419149,403129,442759,442890,423511,442888,439749,439747,447502,483453,482993,486960,442750,406853,419172,471742,442751,442749,442889,419542,417288,484260"
439001,"442681,439000,442683,442682,458116,481901,401203,401249,401217,401206,401187,401221,401208,401183,401201,466199,401205,400735,401190"
442908,"442907,439761,442905,439760,407087,414017,414020,442674,442673,442661,442660,485009,438918,442662"
442907,"442908,439761,442905,439760,407087,414017,414020,442674,442673,442661,442660,485009,438918,442662"
439761,"442908,442907,442905,439760,407087,414017,414020,442674,442673,442661,442660,485009,438918,442662"
440017,416679
442905,"442908,442907,439761,439760,407087,414017,414020,442674,442673,442661,442660,485009,438918,442662"
439760,"442908,442907,439761,442905,407087,414017,414020,442674,442673,442661,442660,485009,438918,442662"
439858,"442757,442756,439877,439874,439859,442884,442881"
432256,411592
447138,"447139,442695,439009,447137,442697,442696,439836,439835,440357,440351,440355,443287,443288,439008,439850,409023,416675,443286,439851,442838,407314,407337,439730,439733,407277,442837,491761,442836,407301,442906,423329,407327,407287,407318,442910,440761,443202,442911,443206"
439756,"443104,495135,442897,443103,439755,442898,442896,423810,443102,439818,443124,439645,412607,439826,439644,442675,439819,439149,442947,443125,442772,439825,442677,442676,442770,442801,442800,439152,433833,442798,442797,442803,439118,439119,442771,442804,443127,403070,442948,439151,498236,461133,407761,442946,439153,439943,400529,439779,439784,508438,508386,439146,439771,413739,508390,408836,442921,412912,485633,507936,413699,399065,408861,439736,455057,408277,406678,439078,476210,508137,481709,409658,489130,421555,469103,471412,414941,399565,442760,439769,418327,421052,442925,440999,472385,439148,442844,413773,439079,443039,409773,440813,443037,441000,402284,443175,443040,413776,439834,437755,443033,430875,422417,411656,413767,405023,443178,510913,476111,415208,442761,440567,426448,442700,404196,409896,405019,442923,476172,440577,476202,405086,491855,476076,414225,476034,456527,448959,437768,442825,463098,413786,483727,442698,400032,482675,442759,476087,476101,476069,440574,461773,442842,448862,407260,473713,507566,476137,439738,415641,408352,412408,442826,460315,442890,460194,442843,489520,430481,407231,413780,414324,415721,474641,443032,507988,440572,505485,436138,457453,418577,423557,409807,412567,476131,418094,420583,405167,476019,440001,454010,439998,476013,411893,440000,450103,464410,442888,497371,442824,506434,484123,439749,418565,424837,428712,433770,463994,414307,468963,452483,417037,492914,439747,451996,429449,399580,443179,408995,415828,432236,485966,443035,420296,402983,418838,486813,440565,476120,483441,448088,402963,405294,415607,443447,420413,482761,428252,413225,422000,416434,442750,416348,429028,406853,414300,452525,420228,414302,464673,435513,457892,458137,400287,429039,401789,493910,414321,403672,428868,413792,467426,414293,430496,413802,425961,454066,414318,401103,487219,415337,468175,413798,423300,486856,468913,476091,415682,431828,448778,439724,440793,426068,437979,454301,498339,483860,406793,442751,476083,413252,427594,414283,422602,420376,462455,442828,439685,437329,499720,502407,414281,442699,413810,481606,455056,407616,420966,442829,400890,418587,450497,418606,444820,408745,446679,504567,418602,477868,510103,401975,478980,476030,489529,413102,442749,453081,440998,430611,450881,472871,452636,433834,466038,402011,440724,470046,402016,467957,477916,401494,489497,434627,500958,442889,497121,441873,469199,445749,493089,408088,504184,460311,409844,476187,459505,411216,502558,463077,431232,500682,399945,448212,493896,448585,418272,455681,485865,483196,437588,509878,418453,435186,495287,479492,418627,493295,420835,438384,495837,413788,456379,435960,406399,439833,442713,447380,476149,439698,504150,446374,476535,459503,427708,477700,449937,413440,407025,496851,442097,410899,431565,439422,417327,439725,419696,435648,401520,508460,486383,410556,476498,509868,417208,454111,401588,442827,439687,466404,472719,476015,409617,442143,400480,468235,450715,403100,448686,417741,502232,472579,439490,401267,476196"
