id,neighbors
233,
318,
360,
384,
395,
397,
401,
403,
422,
427,
429,
433,
437,429
458,
460,
464,"318,360"
476,458
480,
497,
508,233
509,
537,"429,437"
582,
618,
619,
740,"318,360,464"
742,
760,"429,437,742"
810,
813,
834,
879,
913,
942,"360,464,740"
977,
997,"318,429,437,464,537,740,742,760"
1030,"318,464,740,742,760,997"
1043,
1044,
1047,"458,476"
1055,
1072,"429,437,537,742,760,997"
1105,"429,437,537,742,760,997,1072"
1108,
1113,
1122,"429,437,760,977"
1138,
1214,403
1237,
1298,
1318,"318,464,740,742,760,997,1030"
1339,
1353,
1368,
1372,
1427,
1438,"458,476,1047"
1468,
1495,
1536,
1551,
1566,
1571,"429,437,537,742,760,997,1072,1105"
1591,
1619,
1622,1566
1674,
1713,
1740,
1741,
1757,"458,476,1047,1438"
1781,
1840,"318,360,464,740,742,760,942,977,997,1030,1113,1318"
1842,"318,464,740,742,760,997,1030,1318,1840"
1847,
1863,
1893,"318,464,740,742,760,997,1030,1318,1840,1842,1847"
1937,
1940,"403,1214"
1993,
2157,
2170,
2210,
2220,"497,1847"
2245,
2252,
2260,
2340,1108
2344,460
2346,1353
2484,"458,476,1047,1438,1757"
2487,
2501,"460,618,742,2344"
2524,2487
2599,
2627,1468
2643,
2794,
2813,
2850,
2928,
2960,
3013,
3040,2599
3060,
3067,
3078,
3102,
3181,
3188,
3428,
3449,
3519,
3531,"464,740,760,977,1840"
3568,
3639,1495
3650,"403,1214,1940"
3853,
3877,
3948,
3995,
4026,
4171,3519
4179,
4242,"458,476,1047,1438,1757,2484"
4249,"458,476,1047,1438,1757,2484,4242"
4293,"318,360,464,740,742,760,942,977,997,1030,1113,1318,1840,1842,1847,1893,3531"
4295,"318,360,464,740,742,760,942,977,997,1030,1113,1318,1840,1842,1847,1893,3531,4293"
4307,
4349,"1468,2627"
4360,
4443,"318,360,464,740,742,760,942,977,997,1030,1113,1318,1840,1842,1847,1893,3531,4293,4295"
4450,"458,476,1047,1438,1757,2484,4242,4249"
4500,
4594,
4661,"395,460,2344,2501"
4718,
4757,"397,429,437,537,742,760,997,1072,1105,1571"
4759,
4763,"318,360,464,740,742,760,942,977,997,1030,1113,1318,1840,1842,1847,1893,3531,4293,4295,4443"
4779,"318,360,464,740,742,760,942,977,997,1030,1113,1318,1840,1842,1847,1893,3531,4293,4295,4443,4763"
4795,1551
4820,"429,437,537,742,760,997,1072,1105,1571,4757"
4858,
4918,3013
4922,
4988,"429,437,742,760,997,3531"
5033,619
5039,4858
5052,"318,429,437,464,740,742,760,977,997,1030,1122,1318,1840,1842,1847,1893,3531,4293,4295,4443,4763,4779,4988,5039"
5067,
5137,
5139,"318,464,740,742,760,997,1030,1318,1840,1842,1847,1893,3531,4293,4295,4443,4763,4779,4988,5039,5052"
5473,
5485,
5578,
5660,
5760,"619,3995,5033"
5809,
5812,
5822,
5847,"318,464,740,742,760,997,1030,1318,1840,1842,1847,1893,3531,4293,4295,4443,4763,4779,4988,5039,5052,5139"
5947,
6019,
6066,
6127,
6137,5812
6189,2643
6219,"1468,2627,4349"
6267,
6284,"742,760,997,1105,1571,4988"
6308,"403,1214,1940,3650"
6313,
6325,
6337,2245
6341,
6353,395
6369,3078
6371,
6544,
6554,
6598,"395,6353"
6691,
6697,
6701,"318,360,464,740,742,760,942,977,997,1030,1113,1318,1840,1842,1847,1893,3531,4293,4295,4443,4763,4779,4988,5039,5052,5139,5847,6284"
6706,"742,760,997,4988,6284"
6960,"318,464,740,742,760,997,1030,1318,1840,1842,1847,1893,3531,4293,4295,4443,4763,4779,4988,5039,5052,5139,5847,6284,6701,6706"
7002,
7030,
7048,1847
7073,
7079,
7093,2346
7173,"3519,4171"
7197,"458,476,1047,1438,1757,2484,4242,4249,4450"
7215,"458,476,1047,1438,1757,2484,4242,4249,4450,7197"
7276,"618,1339"
7394,"395,4661"
7427,
7495,1551
7514,"458,476,1047,1438,1757,2484,4242,4249,4450,7197,7215"
7586,"397,429,437,537,742,760,997,1072,1105,1571,4757,4820,4988,6284,6706"
7626,
7641,1847
7777,"879,5067"
7852,2210
7857,
7888,
7980,"742,760,997,1105,1571,4988,6284,6706"
8006,
8020,"458,476,1047,1438,1757,2484,4242,4249,4450,7197,7215,7514"
8064,8006
8076,1237
