userid;bookid
233.0;442948,408960
288.0;501022
318.0;439155
326.0;410287,462194,507507,504304,432193
336.0;486972
353.0;464812
360.0;416678
373.0;492356,497674
380.0;482144,482142,431373,482684,435916
384.0;455735
393.0;457588,429992
395.0;442971,439804,442972,408654
397.0;445127
400.0;494748
401.0;473886
403.0;447137,447137,447139,447139
405.0;464812
421.0;422183
422.0;492560
427.0;497502,416693
429.0;438933,438933,416677,439771,439769,443027,407231,431939,495631
431.0;399507
433.0;435675
437.0;438933,416677
440.0;486972
458.0;417745
460.0;408696,407087
464.0;439155,416678
476.0;417745
480.0;491012
488.0;460613
497.0;442771,442771,442770,442770
508.0;442948,439704
509.0;466393
510.0;410393
512.0;472017
537.0;438933
548.0;435773
582.0;428980
599.0;476264
618.0;442907,442908
619.0;492730,492730
633.0;418273
639.0;493252
673.0;419705
740.0;439155,416678
742.0;438933,438933,439155,439155,440047,440047,445127,445127,442908,482162,481721,423203
760.0;438933,439155,416677,445127
809.0;415849
810.0;423511,423511
813.0;452483,409836
834.0;479009
845.0;495846
879.0;442892,442892,439750,439750
883.0;478815
903.0;492699
913.0;439836
942.0;416679,416678
977.0;416677,416678,412315
987.0;420319
997.0;438933,439155
1012.0;450146
1030.0;439155,439155,442893
1043.0;409023,439836,447137,404541
1044.0;443175
1047.0;417745,417745,421116,421116,416042
1055.0;439761
1072.0;438933,438933,423070
1097.0;473803
1105.0;438933,438933,416679,421299
1108.0;439118
1113.0;416678,465612,457837,421371
1122.0;416677,506566
1125.0;448165
1138.0;439760
1148.0;503958,503958
1191.0;486104
1197.0;490904
1214.0;447139
1228.0;444718
1237.0;439011
1248.0;433597
1298.0;482675
1316.0;424289,452853
1318.0;439155,439706
1339.0;442905,442905,439761
1353.0;463098
1368.0;401285
1372.0;404655,493910
1381.0;404675,404675
1402.0;488953,482272,435528
1413.0;416807,416720
1416.0;399005
1417.0;485635
1427.0;423450
1438.0;417745
1447.0;435183
1468.0;404570,432605
1495.0;442675,442676,410194
1536.0;407627,435648
1551.0;439835,447138,442923,442921
1566.0;467741
1571.0;438933,438933,416679
1591.0;443029,443029
1619.0;439718
1622.0;467741
1661.0;432605
1674.0;418360,408041
1699.0;454140,454140,454140
1713.0;488269,488269
1740.0;442896,439736
1741.0;400581,400581
1749.0;465629
1757.0;417745
1781.0;418096,483565,431086
1825.0;499401
1828.0;472544
1830.0;416042,416042
1840.0;439155,416678
1842.0;439155,439155,421100,465612
1847.0;439155,442771,442772
1860.0;414436
1863.0;442973
1893.0;439155,439155
1921.0;399169
1937.0;479295
1940.0;447139
1993.0;479267,480821,442948
2048.0;502280,427820
2157.0;453256
2170.0;418453
2210.0;411120,411120
2220.0;442771
2243.0;503476,503476
2245.0;412607
2252.0;403681
2260.0;496000
2340.0;439118,439119
2344.0;407087
2346.0;418128,418128,463098,463098,463098,463098,463098
2484.0;417745,417745
2485.0;424216
2487.0;502501,418327
2501.0;442908,407087
2524.0;502501,414228
2540.0;482298
2573.0;482642,482642,444165
2581.0;432515,432515,505376,505376
2590.0;400783
2598.0;400086,453991,498107
2599.0;411992,496616
2612.0;435652
2627.0;404570
2643.0;438447,438447,438447
2740.0;465778,465778,411702,411702,491112
2794.0;477273,499716
2813.0;416672
2850.0;443134
2871.0;503521,460399
2874.0;451310
2877.0;441666
2928.0;443261,463233
2960.0;443481
2978.0;474871,399827,472111
2998.0;465157,497203
3013.0;405258,419689
3040.0;411992
3041.0;487693
3060.0;442888,439749
3067.0;431176
3078.0;488051
3080.0;406017
3102.0;404799
3147.0;412140
3181.0;442697
3188.0;448186
3209.0;418814
3315.0;475655
3353.0;500205
3428.0;493295
3449.0;439717,402473
3519.0;432256,432256
3531.0;439155,416677,416678
3545.0;429525
3568.0;444129,444129,444129
3582.0;477194
3639.0;410194,409463
3650.0;447139,447139
3671.0;487945
3680.0;430043
3693.0;418273
3716.0;477681
3753.0;426681,426681
3771.0;428343
3773.0;413768
3806.0;436339,497264
3853.0;422558
3877.0;423557,413241,451482
3890.0;501427
3898.0;444216
3948.0;461044,470398,492826
3995.0;405857
4026.0;413522
4033.0;487945
4072.0;444510
4171.0;432256
4179.0;486349
4190.0;399617,427740
4205.0;491829
4235.0;508089
4242.0;417745
4249.0;417745
4293.0;439155,416678
4295.0;439155,416678
4307.0;455337
4349.0;404570,404570
4360.0;455114
4403.0;445816
4438.0;440003
4443.0;439155,416678
4450.0;417745
4500.0;435746,419104
4511.0;400652
4519.0;415257
4557.0;429279
4594.0;442750,442751
4661.0;407087,439804
4676.0;485265
4718.0;456986
4757.0;438933,445127
4759.0;407204
4763.0;439155,416678
4779.0;439155,416678
4795.0;439835,439835
4801.0;489898,489176
4820.0;438933
4858.0;442947,442946
4918.0;405258,419689,428980
4922.0;499585
4969.0;419262
4988.0;438933,439155,416677
5033.0;492730
5039.0;439155,416678,442947,442947,443173,443171,443171,442946
5052.0;439155,416677
5067.0;442893,439751,442892,439750,442894,407009,469400
5106.0;437092
5128.0;407142
5137.0;467335,467335
5139.0;439155
5140.0;402024
5163.0;482205
5178.0;495593
5228.0;468142,434016,433991,433931,468180,468192
5439.0;494919,494919,494919,414848,414848
5473.0;424075
5485.0;429629,494089,418514
5488.0;439638,439638
5578.0;442143
5599.0;420515
5660.0;473713
5721.0;459890
5760.0;492730,405857
5789.0;482685
5809.0;439718,439717,477579
5812.0;486713,486713
5819.0;452365,441338
5822.0;469699
5839.0;439638,439137
5847.0;439155,439155
5875.0;509214
5883.0;407701
5947.0;428252
5968.0;471444
6019.0;410790,410790,467426,467426,429041,495455
6066.0;441990,441990
6116.0;459890,423070
6127.0;452647
6137.0;486713,486713
6189.0;438447
6219.0;404570,404570
6249.0;420319
6267.0;475043
6284.0;438933,439155,416679
6308.0;447139
6313.0;474641,483782
6325.0;472385,463507,493464,403685
6328.0;451909,399598,423857
6337.0;412607,412737
6341.0;464287
6353.0;442971
6366.0;433324
6369.0;488051
6371.0;433833
6396.0;441277
6423.0;496801
6442.0;425092,418273,404986
6474.0;468219
6484.0;410020
6498.0;415558
6500.0;457383
6527.0;508612
6544.0;451976
6554.0;457296,457296,457296
6598.0;442971,408654
6600.0;457875
6617.0;424028
6691.0;432168,456846
6697.0;442662,403770
6701.0;439155,416678
6706.0;438933,439155,439760,439761
6769.0;457383
6896.0;480639
6900.0;488367
6912.0;458316
6960.0;439155
7002.0;426817
7030.0;486710,407893
7034.0;510730
7048.0;442772
7073.0;504218,504218,495701
7079.0;443102
7093.0;418128
7118.0;419040
7173.0;432256
7197.0;417745
7215.0;417745
7216.0;413833
7252.0;429415,498325
7276.0;442905,442905,439760,439761,439761,442907,442907,442908,442908,407087
7292.0;422378
7382.0;499312
7394.0;439804
7418.0;436933,436933
7427.0;422406
7428.0;427716,427716
7432.0;460096,460096
7478.0;472779
7495.0;439835,447138,442923,442921,439749,439747,406853
7514.0;417745
7586.0;438933,445127
7626.0;487253
7641.0;439155,416677,442771,442972,442973,442772,471008
7672.0;469400
7736.0;432406
7769.0;505665
7770.0;434780
7777.0;442892
7852.0;411120,411120
7857.0;501792
7888.0;439810
7953.0;416617
7966.0;420515
7980.0;438933,439155,416679
8006.0;443127,433833,399580
8008.0;422267
8020.0;417745,417745
8064.0;439826,443127
8076.0;439011
8108.0;467834
8134.0;439118,442770,442772,439119
8177.0;448522,448612
8208.0;480255
8235.0;437871
8317.0;428410
8342.0;463233
8398.0;455589
8405.0;470983
8423.0;481305
8425.0;447457,479565
8505.0;440783
8507.0;487170
8520.0;436457
8566.0;439155,468803
8567.0;439155,407009,407009
8571.0;439155,442893
8589.0;503541
8608.0;447457,447457,427040,427040,476730,476730
8615.0;459983,456986
8669.0;439155,439155,418360
8741.0;479295
8744.0;429467,429467
8779.0;452647
8791.0;439155,452594
8811.0;439155,439155
8820.0;442681,458978
8845.0;428569
8936.0;422378
8953.0;489872,489872
8957.0;411827
8989.0;440093,407231,440091
9079.0;506343,506343,506343
9109.0;483176
9183.0;440702
9187.0;439137
9193.0;429708
9234.0;409946
9333.0;439155,439155,416677,416677,442905,442905,439760,439761,439761,442907,442907,442908,442908,407087,439803,439803,439804,442972,442972,442973,442973,408654,442888,442890,442889,439749,439747,406853
9336.0;482675
9348.0;483332
9367.0;471320
9370.0;422245
9478.0;439137,399169
9518.0;485081
9521.0;417745,417745
9587.0;403129
9655.0;420588
9673.0;474641,474641
9733.0;460934
9754.0;438933,438933,438933,438933,439155,439155,416677,416677,416679,416678,416678,416678
9776.0;439155
9784.0;416679
9788.0;439155
9798.0;412737,412737
9801.0;416674
9818.0;483722,483722
9820.0;439155
9830.0;439155
9872.0;426355
9905.0;439803,439804,442972,442973,408654
10071.0;428410
10097.0;438327
10104.0;504957
10170.0;426355
10177.0;419028
10200.0;439155,442907
10208.0;439155,484350,399068
10251.0;479842
10283.0;442948
10284.0;410194
10290.0;489727
10300.0;439011,439010,471289,471289
10345.0;439155
10398.0;439155,439155,442908
10494.0;422417
10505.0;440078,440078
10556.0;439718,439717
10558.0;439155
10572.0;420363
10575.0;439155
10594.0;438933,439155
10610.0;443102,443103,439819
10613.0;418360,408041
10624.0;439155
10707.0;439155
10709.0;439155
10769.0;421819
10801.0;442893,439751,442892,439750,442894
10847.0;401930
10857.0;510702,425637
10869.0;405258
10887.0;429909
10906.0;399065,399580
10918.0;455057
10969.0;491858
10971.0;424135,403375
10973.0;495878
10994.0;488976
11003.0;424421,424421
11023.0;439155
11026.0;439155
11031.0;439155
11037.0;439155
11085.0;469453
11116.0;418440
11185.0;439000
11199.0;439155,442893
11202.0;439155
11212.0;439155
11222.0;439155
11251.0;426258
11258.0;419262
11377.0;439155
11386.0;443755
11521.0;438933,416677,416678,442893,447137,439751,439750,442894,407009
11530.0;442764,442763,439097
11542.0;482308
11632.0;446092
11662.0;442907,408654
11672.0;442682,442681
11779.0;442893,439751,439750,442894
11857.0;474515
11888.0;405258
11921.0;476138
11924.0;422579
11994.0;423381
12016.0;443275
12023.0;488051,442674,442673,485633,510913,456864
12035.0;429017
12055.0;412350
12112.0;438933
12126.0;429041,429041
12166.0;412072
12195.0;438933
12219.0;432168
12257.0;408080
12309.0;457383
12330.0;442661,442662,442660
12344.0;429017
12351.0;420548
12368.0;400805
12374.0;443127
12475.0;457897,482694
12476.0;412265
12482.0;458963
12507.0;401693
12518.0;432339,415295,423805
12611.0;422556
12631.0;491417,491417
12638.0;478573
12645.0;432256
12665.0;405258
12690.0;437991
12713.0;482675,467769
12755.0;439717
12820.0;481708,481708
12834.0;416677
12841.0;411992,411992
12861.0;430993
12880.0;441338
12881.0;430657
12882.0;410001
12920.0;422378
12921.0;424075
12928.0;460315
12953.0;416460,454010,454010
12990.0;432256
13020.0;482768
13048.0;405310
13087.0;484430
13109.0;410457
13172.0;399468
13178.0;422723,480344
13181.0;504254
13217.0;432256
13257.0;468115,468115
13266.0;443027
13277.0;402876
13320.0;420247
13376.0;439155,416677,442905,442905,439760,439760,439011,439010,439761,439761,442907,442907,442908,442908,407087,407087,407087
13396.0;421052
13408.0;442433
13429.0;419213
13440.0;467627
13468.0;439155,439155,416677,416677,442770,442770,442772
13514.0;429041,472282
13564.0;404062
13571.0;439771,442888,442888
13610.0;442905
13615.0;503317
13617.0;442893,439010
13646.0;486920
13690.0;400834
13692.0;467741
13708.0;407718
13720.0;443135,408889,439698,439697
13744.0;442675,442677,442676,439645,439644
13753.0;454993
13759.0;477250,403070,403070
13774.0;501049
13832.0;461133,418327
13863.0;404839
13911.0;402473
13925.0;429039
13950.0;491059
14132.0;461133,416460
14177.0;428252
14236.0;439155,416677,442771,439118,442770,442972,442973,442772,439119,439119
14240.0;500408
14258.0;411330
14352.0;492730
14392.0;442771,442771,439118,439118,442770,442770,442772,439119,439119
14445.0;473311
14457.0;409807
14460.0;459856,459856
14479.0;442890,442889
14480.0;482685
14545.0;502501
14564.0;408179
14589.0;400467
14615.0;400287
14632.0;471581,434557
14643.0;468030,497429,441461
14742.0;439155,439155,416677,416677,442972,442973
14745.0;427566,480417
14822.0;416321
14838.0;442700,442700
14840.0;507359
14878.0;430746
14961.0;442771
14969.0;430043
15002.0;424075,428980
15006.0;434120
15008.0;409807
15010.0;416679,440047
15051.0;432256,432256
15066.0;402284
15067.0;421116
15110.0;464461
15321.0;409946
15332.0;467741
15352.0;461133,461133,419040
15360.0;475261
15361.0;407718
15448.0;468400
15452.0;493026
15462.0;507722
15481.0;432256
15507.0;431176
15534.0;485081
15547.0;478573
15604.0;421697,484874
15626.0;420280
15633.0;403421
15688.0;442143
15696.0;421091
15697.0;454575
15791.0;438933,416679
15792.0;452647
15807.0;438384
15869.0;403172
15879.0;420295,420295
15935.0;416106
15941.0;444752
15944.0;439008,438952,438955
15981.0;437991
16050.0;438955,442671,442671,442672,442672,439829,443135,443134,408889,443130
16070.0;439155,439155,439155,416677,416677,416677
16188.0;402473
16202.0;439155,439155,439155,416677,416677,416677,473095,473095
16218.0;416106
16252.0;505784
16279.0;442947,407761,439779,442946,442948,439784
16280.0;422406,455125
16289.0;508204
16327.0;439155,416677
16379.0;442695,439009
16408.0;412607,442696,442898,442697,439828,443135,443134,408889,443130
16436.0;442897,442898
16448.0;432256
16492.0;418327
16519.0;433833
16603.0;422728,428815,460189
16607.0;404799
16616.0;473713,428734
16642.0;399565
16696.0;438933,438933,438933,439155,439155,439155,439155,442905,439760,439761,439761,442907,407087
16708.0;433823
16751.0;443125
16762.0;469332
16778.0;421116
16787.0;420219
16794.0;492289
16811.0;461447
16838.0;439155,416677
16840.0;439155,416678
16845.0;438952,442671
16850.0;442972,442973
16865.0;507168
16894.0;417745
16915.0;415607,415607
16922.0;439155,416677
16991.0;438933,438933,438933,438933
16999.0;454018,477974,405757
17043.0;420013
17051.0;439760
17124.0;503476
17133.0;442770
17148.0;421052,425512,467769
17167.0;464136,489898,423890
17183.0;466393
17204.0;458176
17233.0;442673
17245.0;481141,481141
17392.0;481986
17409.0;433823,488051
17427.0;494527
17433.0;439155,439155,439155,439155,439155,416677,416677,416677,416677,416677
17496.0;421446,416477,416477
17567.0;414017,414020
17578.0;503329,503943,503943
17602.0;439155,416678
17634.0;440719
17674.0;441797
17687.0;426443,426443
17750.0;442682,442681
17767.0;417745
17774.0;447678
17778.0;432872
17820.0;447137
17827.0;404196
17896.0;433974
17945.0;438955,442671,442672
17971.0;417745
17990.0;435980
18064.0;416155,472027
